property_id,title,price,price_buy,price_rent,location,state,bedrooms,bathrooms,image,url,source
ba40300b-bc60-474e-8619-6c9c5f77c347,Sri Putra Apartment,7540521.0,7540521.0,,Johor,johor,3.0,2.0,https://img.rnudah.com/grids/29/2980287065216863998.jpg,https://www.mudah.my/property/properties-in-sri-putra-apartment-johor,condominium
6d86b28a-5103-4779-aaf9-f08e2d59ce61,Taman Scientex ( Flat Pelanduk ),3259687.0,3259687.0,,Johor,johor,3.0,2.0,https://img.rnudah.com/grids/29/2979461481639224619.jpg,https://www.mudah.my/property/properties-in-taman-scientex-flat-pelanduk-johor,condominium
6727068e-f8e6-466e-9905-d91b9aa25cee,Sri Lanang,641790.0,641790.0,800.0,Johor,johor,3.0,2.0,https://img.rnudah.com/grids/29/2982908897545132239.jpg,https://www.mudah.my/property/properties-in-sri-lanang-johor,condominium
3c013eeb-b32b-4c7c-9a5d-aadda72937a5,SKS Habitat,8682.0,8682.0,,Johor,johor,3.0,2.0,https://img.rnudah.com/grids/29/2985245796908099649.jpg,https://www.mudah.my/property/properties-in-sks-habitat-johor,condominium
45243292-4170-4ecb-9409-e750a05dc77b,Medini Signature,8129.0,8129.0,,Johor,johor,2.0,2.0,https://img.rnudah.com/grids/29/2978703333144003603.jpg,https://www.mudah.my/property/properties-in-medini-signature-johor,condominium
876e3d9b-2a9e-4e96-b25e-27655c1a1ee8,Adamai,968.0,968.0,968.0,Johor,johor,4.0,3.0,https://img.rnudah.com/grids/29/2932503994530803197.jpg,https://www.mudah.my/property/properties-in-adamai-johor,condominium
ebe39b42-8ea2-42b8-b105-0d32ff1a7ef1,Skysuites @ Meldrum Hills,950.0,950.0,520.0,Johor,johor,1.0,1.0,https://img.rnudah.com/grids/29/2983050692109838353.jpg,https://www.mudah.my/property/properties-in-skysuites-meldrum-hills-johor,condominium
ee35f405-a566-43e7-b1d6-c69c6eef22e1,Pangsapuri Blok Kenari,900.0,900.0,650.0,Johor,johor,2.0,1.0,https://img.rnudah.com/grids/29/2984094710287337496.jpg,https://www.mudah.my/property/properties-in-pangsapuri-blok-kenari-johor,condominium
6df96806-82fd-4b39-8729-777f891a6340,Larkin Utama,900.0,900.0,900.0,Johor,johor,4.0,2.0,https://img.rnudah.com/grids/29/2979296993044352303.jpg,https://www.mudah.my/property/properties-in-larkin-utama-johor,condominium
8bc41728-666c-4501-90b9-0dfe1ac0c1b1,Unknown,850.0,850.0,560.0,Johor,johor,,,https://cdn.rnudah.com/image_property/plain/e948e7c1d1784d55a49e47d1b0ec6e28-2852145763881663140.jpg,https://www.mudah.my/property/apartment,condominium
2e3e510f-90fe-4da8-81dc-2617defd00fe,Hillview Loft Condominium,780.0,780.0,,Johor,johor,3.0,2.0,https://img.rnudah.com/grids/29/2977174265468715188.jpg,https://www.mudah.my/property/properties-in-hillview-loft-condominium-johor,condominium
dbd053b3-746d-43d6-8334-9c59b214132f,Ramada Suites @ The Straits,750.0,750.0,,Johor,johor,2.0,2.0,https://img.rnudah.com/grids/29/2980056323463460216.jpg,https://www.mudah.my/property/properties-in-ramada-suites-the-straits-johor,condominium
ad2c71b8-363e-41c4-86a9-ea20ef6048ea,Pangsapuri Meridian Medini,650.0,650.0,,Johor,johor,1.0,1.0,https://img.rnudah.com/grids/29/2976848716066255230.jpg,https://www.mudah.my/property/properties-in-pangsapuri-meridian-medini-johor,condominium
dd243974-2746-4726-bbe9-9d3374d3dfa9,Ponderosa Lakeside,638.0,638.0,638.0,Johor,johor,3.0,3.0,https://img.rnudah.com/grids/29/2981168438508955419.jpg,https://www.mudah.my/property/properties-in-ponderosa-lakeside-johor,condominium
1b624794-a63b-414a-9e0b-176dcee1f4c4,Ramada Meridin,600.0,600.0,,Johor,johor,1.0,1.0,https://img.rnudah.com/grids/29/2977749220059062512.jpg,https://www.mudah.my/property/properties-in-ramada-meridin-johor,condominium
fae5d6c5-0032-49d0-868d-5d1b5dcedd24,M Condominium @ Larkin,575.0,575.0,550.0,Johor,johor,3.0,3.0,https://img.rnudah.com/grids/29/2980608713934976376.jpg,https://www.mudah.my/property/properties-in-m-condominium-larkin-johor,condominium
ee099d9e-bfd4-4d04-a03c-02dba6e60dbf,KSL Avery Park,,,,Johor,johor,3.0,2.0,https://img.rnudah.com/grids/29/2982042758050655297.jpg,https://www.mudah.my/property/properties-in-ksl-avery-park-johor,condominium
0f01b100-2511-481c-9844-47aab12ff330,Frinza Court,,,,Johor,johor,3.0,2.0,https://img.rnudah.com/grids/29/2934192739773066899.jpg,https://www.mudah.my/property/properties-in-frinza-court-johor,condominium
d30e6a8e-3fc7-473a-978e-ce8b28bcf77f,404,,,,Johor,johor,,,https://www.facebook.com/tr?id=632307416906311&ev=viewcategory&&cd[content_category]=0%20%7c%20all_categories&noscript=1,https://www.mudah.my/property/apartment%3Futm_source%3Ddfp%26utm_medium%3Dbanner%26utm_campaign%3Dall_cat_oct2023%26utm_term%3Dapartment-directory-building-page%26utm_content%3Dhalfpage</a><a,condominium
b6480bc1-38d8-483e-800a-862abb02cecd,404,,,,Johor,johor,,,https://www.facebook.com/tr?id=632307416906311&ev=viewcategory&&cd[content_category]=0%20%7c%20all_categories&noscript=1,https://www.mudah.my/property/apartment%3Futm_source%3Ddfp%26utm_medium%3Dbanner%26utm_campaign%3Dall_cat_oct2023%26utm_term%3Dapartment-directory-building-page%26utm_content%3Dhalfpage,condominium
a6c24020-26cb-4a0b-80a8-36edb398f870,Pangsapuri Impian Stulang,,,,Johor,johor,3.0,2.0,https://img.rnudah.com/grids/29/2984962579743594957.jpg,https://www.mudah.my/property/properties-in-pangsapuri-impian-stulang-johor,condominium
959e9ed2-a5a9-45ee-9f70-37b40b7a016f,404,,,,Johor,johor,,,https://www.facebook.com/tr?id=632307416906311&ev=viewcategory&&cd[content_category]=0%20%7c%20all_categories&noscript=1,https://www.mudah.my/property/apartment</a><a,condominium
1138aeb9-df9f-40ee-8944-6bf55d82e6a9,Hajah Fatimah Flat,,,,Johor,johor,3.0,2.0,https://img.rnudah.com/grids/29/2936299579834615688.jpg,https://www.mudah.my/property/properties-in-hajah-fatimah-flat-johor,condominium
37399fa5-a009-4d07-a451-bf189f319bfe,The Country Towers Condominium,,,,Johor,johor,3.0,3.0,https://img.rnudah.com/grids/29/2978908949762428207.jpg,https://www.mudah.my/property/properties-in-the-country-towers-condominium-johor,condominium
a6cb6ef8-705e-4100-9a59-20d4a679bcfe,D'Secret Garden @ Kempas Indah,,,,Johor,johor,2.0,2.0,https://img.rnudah.com/grids/29/2984508105842268869.jpg,https://www.mudah.my/property/properties-in-dsecret-garden-kempas-indah-johor,condominium
3b13aa6c-9aa6-42cb-8c1f-5084126948aa,The M @ Medini Macrolink,,,,Johor,johor,2.0,2.0,https://img.rnudah.com/grids/29/2981184260202407707.jpg,https://www.mudah.my/property/properties-in-the-m-medini-macrolink-johor,condominium
