property_id,title,price,price_buy,price_rent,location,state,bedrooms,bathrooms,image,url,source
4184bb0f-4e5c-4653-8731-ce5dadcb8aea,Flat Taman Seri Jenaris,19884711.0,19884711.0,,Kedah,kedah,3.0,1.0,https://img.rnudah.com/grids/29/2973504646796896170.jpg,https://www.mudah.my/property/properties-in-flat-taman-seri-jenaris-kedah,condominium
30d4ca6b-db82-4a42-b4b0-b6029e8b8165,Kondo Istana,671421.0,671421.0,,Kedah,kedah,3.0,2.0,https://img.rnudah.com/grids/29/2981890303848433323.jpg,https://www.mudah.my/property/properties-in-kondo-istana-kedah,condominium
ea70c624-6f43-4a94-bc9e-c74d773aa13e,G Residence (Alor Setar),45699.0,45699.0,520.0,Kedah,kedah,3.0,2.0,https://img.rnudah.com/grids/29/2958124138711275205.jpg,https://www.mudah.my/property/properties-in-g-residence-alor-setar-kedah,condominium
7a822ed9-cc40-4286-9e55-eaf366a1b31b,Amansuri Residences,7095.0,7095.0,620.0,Kedah,kedah,5.0,5.0,https://img.rnudah.com/grids/29/2966576404704265976.jpg,https://www.mudah.my/property/properties-in-amansuri-residences-kedah,condominium
0335cb14-5d0a-4afb-9970-ddc084136190,Langkawi Lagoon,6574.0,6574.0,,Kedah,kedah,1.0,1.0,https://img.rnudah.com/grids/27/2781356254307172015.jpg,https://www.mudah.my/property/properties-in-langkawi-lagoon-kedah,condominium
a7b37275-56f3-4f21-a9ed-7cea4ea40057,Belize Apartment,5995.0,5995.0,,Kedah,kedah,2.0,3.0,https://img.rnudah.com/grids/29/2975246563322613141.jpg,https://www.mudah.my/property/properties-in-belize-apartment-kedah,condominium
276699d4-dd01-425a-b268-ed658ad4813e,Taman Setia Jaya,2675.0,2675.0,,Kedah,kedah,2.0,1.0,https://img.rnudah.com/grids/29/2947959047404777297.jpg,https://www.mudah.my/property/properties-in-taman-setia-jaya-kedah,condominium
80ed61f2-d36d-44c8-8b60-ea1b7a26d6b0,Unknown,850.0,850.0,560.0,Kedah,kedah,,,https://cdn.rnudah.com/image_property/plain/e948e7c1d1784d55a49e47d1b0ec6e28-2852145763881663140.jpg,https://www.mudah.my/property/apartment,condominium
c8abdcdb-bb15-4494-a039-c9fda84f8b5a,Residensi Enesta,850.0,850.0,850.0,Kedah,kedah,3.0,2.0,https://img.rnudah.com/grids/29/2982101659150016741.jpg,https://www.mudah.my/property/properties-in-residensi-enesta-kedah,condominium
0ab8a149-f06b-4174-bd3b-40e7b7211e7d,Kampung Warisan Condominium,845.0,845.0,698.0,Kedah,kedah,5.0,4.0,https://img.rnudah.com/grids/29/2981956654380893867.jpg,https://www.mudah.my/property/properties-in-kampung-warisan-condominium-kuala-lumpur,2story
518e5b23-6921-4e5c-90e7-212f83948445,Perdana Residence,750.0,750.0,,Kedah,kedah,2.0,2.0,https://img.rnudah.com/grids/29/2913658857315910113.jpg,https://www.mudah.my/property/properties-in-perdana-residence-kedah,condominium
23dbe54a-2136-4714-b95e-3b46bf737b82,The Laguna Langkawi,699.0,699.0,550.0,Kedah,kedah,2.0,2.0,https://img.rnudah.com/grids/29/2978913921267809656.jpg,https://www.mudah.my/property/properties-in-the-laguna-langkawi-kedah,condominium
33089a72-1359-47f9-be19-f18fb8839b7c,Sri Legenda Apartment,532.0,532.0,,Kedah,kedah,3.0,2.0,https://img.rnudah.com/grids/29/2945504184346629678.jpg,https://www.mudah.my/property/properties-in-sri-legenda-apartment-kedah,condominium
f728bc53-0040-48f7-b7b1-436627faa82a,Taman Sri Tandop,,,,Kedah,kedah,3.0,1.0,https://img.rnudah.com/grids/29/2981380614331319979.jpg,https://www.mudah.my/property/properties-in-taman-sri-tandop-kedah,condominium
641e78e7-375f-4192-bc99-9a3a52ab6a26,404,,,,Kedah,kedah,,,https://www.facebook.com/tr?id=632307416906311&ev=viewcategory&&cd[content_category]=0%20%7c%20all_categories&noscript=1,https://www.mudah.my/property/apartment%3Futm_source%3Ddfp%26utm_medium%3Dbanner%26utm_campaign%3Dall_cat_oct2023%26utm_term%3Dapartment-directory-building-page%26utm_content%3Dhalfpage</a><a,condominium
a51f9c5c-26e8-480b-b284-bab3eb59b6f4,Perdana Beach Resort,,,,Kedah,kedah,2.0,2.0,https://img.rnudah.com/grids/29/2972527608979570498.jpg,https://www.mudah.my/property/properties-in-perdana-beach-resort-kedah,condominium
cfdf811c-5bec-4a34-8056-5a16748a242a,"Residensi Harmoni , Bandar Puteri Jaya",,,,Kedah,kedah,3.0,2.0,https://img.rnudah.com/grids/29/2980862957305279864.jpg,https://www.mudah.my/property/properties-in-residensi-harmoni-bandar-puteri-jaya-kedah,condominium
03da170c-160a-4fd5-b3c5-8dbc28d3ef9e,404,,,,Kedah,kedah,,,https://www.facebook.com/tr?id=632307416906311&ev=viewcategory&&cd[content_category]=0%20%7c%20all_categories&noscript=1,https://www.mudah.my/property/apartment%3Futm_source%3Ddfp%26utm_medium%3Dbanner%26utm_campaign%3Dall_cat_oct2023%26utm_term%3Dapartment-directory-building-page%26utm_content%3Dhalfpage,condominium
54dad322-d9f1-4e7b-84a4-c21feccd6512,404,,,,Kedah,kedah,,,https://www.facebook.com/tr?id=632307416906311&ev=viewcategory&&cd[content_category]=0%20%7c%20all_categories&noscript=1,https://www.mudah.my/property/apartment</a><a,condominium
fc0b3dad-4c75-46f5-9b5b-bbf92eb33289,City Apartments,,,,Kedah,kedah,3.0,2.0,https://img.rnudah.com/grids/29/2979206587086556463.jpg,https://www.mudah.my/property/properties-in-city-apartments-kedah,condominium
